episode,steps,total_reward,score,success,epsilon,truncated
1,88,-53.0,10,0,0.34964999999999996,0
2,59,-71.55,10,0,0.34930035,0
3,60,-4.6999999999999815,10,0,0.34895104964999996,0
4,29,29.250000000000007,10,0,0.34860209860034996,0
5,68,73.64999999999989,10,0,0.34825349650174964,0
6,74,-39.1,10,0,0.3479052430052479,0
7,39,-35.20000000000001,10,0,0.3475573377622426,0
8,71,72.89999999999998,10,0,0.34720978042448036,0
9,39,30.049999999999986,10,0,0.3468625706440559,0
10,35,-0.5499999999999865,10,0,0.34651570807341187,0
11,60,-6.399999999999981,10,0,0.34616919236533844,0
12,27,60.0,10,0,0.3458230231729731,0
13,38,43.949999999999996,10,0,0.3454772001498001,0
14,65,38.099999999999994,10,0,0.3451317229496503,0
15,63,63.24999999999994,10,0,0.34478659122670063,0
16,62,7.7000000000000135,10,0,0.3444418046354739,0
17,35,34.249999999999986,10,0,0.3440973628308384,0
18,29,-20.749999999999993,10,0,0.34375326546800755,0
19,31,45.29999999999998,10,0,0.34340951220253957,0
20,30,19.39999999999998,10,0,0.34306610269033705,0
21,34,33.89999999999999,10,0,0.3427230365876467,0
22,29,19.549999999999986,10,0,0.342380313551059,0
23,6,-29.900000000000002,0,0,0.342037933237508,0
24,56,-42.19999999999999,10,0,0.34169589530427047,0
25,67,-0.4499999999999922,10,0,0.3413541994089662,0
26,57,63.249999999999986,10,0,0.34101284520955727,0
27,32,19.299999999999994,10,0,0.3406718323643477,0
28,15,64.8,10,0,0.34033116053198337,0
29,65,53.00000000000001,10,0,0.33999082937145136,0
30,71,-100.25000000000001,10,0,0.3396508385420799,0
31,67,-28.15000000000002,10,0,0.3393111877035378,0
32,29,64.64999999999999,10,0,0.33897187651583427,0
33,31,59.199999999999996,10,0,0.33863290463931844,0
34,62,42.899999999999935,10,0,0.33829427173467913,0
35,71,-28.64999999999997,10,0,0.3379559774629444,0
36,8,-15.100000000000001,0,0,0.3376180214854815,0
37,96,3.850000000000009,10,0,0.337280403463996,0
38,77,-108.95000000000003,10,0,0.33694312306053203,0
39,34,23.950000000000003,10,0,0.3366061799374715,0
40,8,-15.100000000000001,0,0,0.336269573757534,0
41,8,-15.100000000000001,0,0,0.3359333041837765,0
42,58,63.64999999999999,10,0,0.3355973708795927,0
43,38,0.8500000000000071,10,0,0.3352617735087131,0
44,5,0.2,0,0,0.3349265117352044,0
45,35,33.84999999999998,10,0,0.33459158522346916,0
46,97,1.950000000000049,10,0,0.3342569936382457,0
47,62,77.94999999999993,10,0,0.3339227366446074,0
48,29,49.65,10,0,0.3335888139079628,0
49,96,-38.3,10,0,0.33325522509405486,0
50,52,-11.499999999999986,10,0,0.33292196986896083,0
51,32,49.54999999999999,10,0,0.3325890478990919,0
52,29,29.250000000000004,10,0,0.3322564588511928,0
53,5,0.2,0,0,0.3319242023923416,0
54,96,14.400000000000038,10,0,0.33159227818994924,0
55,5,0.2,0,0,0.3312606859117593,0
56,48,89.45,10,0,0.3309294252258475,0
57,5,0.2,0,0,0.3305984958006217,0
58,5,0.2,0,0,0.33026789730482103,0
59,9,-0.09999999999999996,10,0,0.3299376294075162,0
60,9,-15.250000000000002,0,0,0.32960769177810867,0
61,39,59.0,10,0,0.3292780840863306,0
62,69,58.1,10,0,0.32894880600224424,0
63,55,63.14999999999996,10,0,0.328619857196242,0
64,9,-15.250000000000002,0,0,0.32829123733904575,0
65,31,29.15000000000001,10,0,0.3279629461017067,0
66,76,18.800000000000015,10,0,0.32763498315560496,0
67,38,79.14999999999998,10,0,0.3273073481724494,0
68,63,-15.75,10,0,0.32698004082427695,0
69,6,-29.900000000000002,0,0,0.3266530607834527,0
70,6,-29.900000000000002,0,0,0.32632640772266924,0
71,58,28.000000000000025,10,0,0.32600008131494657,0
72,76,-1.7999999999999794,10,0,0.3256740812336316,0
73,68,-0.5499999999999922,10,0,0.325348407152398,0
74,58,13.699999999999992,10,0,0.32502305874524556,0
75,74,17.550000000000033,10,0,0.3246980356865003,0
76,65,54.300000000000004,10,0,0.3243733376508138,0
77,9,-15.250000000000002,0,0,0.32404896431316293,0
78,9,-15.250000000000002,0,0,0.3237249153488498,0
79,55,-1.4499999999999993,10,0,0.3234011904335009,0
80,33,10.85000000000002,10,0,0.3230777892430674,0
81,5,0.2,0,0,0.32275471145382434,0
82,28,-1.5499999999999996,0,0,0.3224319567423705,0
83,9,-15.250000000000002,0,0,0.32210952478562815,0
84,34,25.699999999999992,10,0,0.32178741526084254,0
85,106,36.2999999999999,10,0,0.3214656278455817,0
86,9,-15.250000000000002,0,0,0.3211441622177361,0
87,74,37.45000000000002,10,0,0.3208230180555184,0
88,103,9.249999999999996,10,0,0.32050219503746286,0
89,5,0.2,0,0,0.32018169284242537,0
90,60,-11.800000000000015,10,0,0.31986151114958294,0
91,33,34.14999999999999,10,0,0.31954164963843334,0
92,57,-17.399999999999995,10,0,0.3192221079887949,0
93,5,0.2,0,0,0.3189028858808061,0
94,35,-5.149999999999984,10,0,0.3185839829949253,0
95,6,-29.900000000000002,0,0,0.31826539901193035,0
96,60,-50.5,10,0,0.31794713361291843,0
97,57,18.599999999999994,10,0,0.3176291864793055,0
98,33,25.200000000000014,10,0,0.3173115572928262,0
99,79,19.85000000000002,10,0,0.31699424573553336,0
100,74,8.400000000000045,10,0,0.3166772514897978,0
101,56,42.94999999999999,10,0,0.316360574238308,0
102,9,-15.250000000000002,0,0,0.3160442136640697,0
103,36,64.85,10,0,0.31572816945040566,0
104,58,27.85000000000002,10,0,0.31541244128095525,0
105,68,46.69999999999992,10,0,0.3150970288396743,0
106,106,-47.49999999999997,10,0,0.3147819318108346,0
107,33,45.3,10,0,0.31446714987902374,0
108,15,-0.3500000000000014,10,0,0.3141526827291447,0
109,59,-21.94999999999999,10,0,0.31383853004641554,0
110,29,49.499999999999986,10,0,0.31352469151636914,0
111,65,-21.849999999999998,0,0,0.3132111668248528,0
112,9,-15.250000000000002,0,0,0.3128979556580279,0
113,35,18.949999999999992,10,0,0.3125850577023699,0
114,5,0.2,0,0,0.3122724726446675,0
115,59,32.55,10,0,0.31196020017202286,0
116,62,62.599999999999966,10,0,0.3116482399718508,0
117,78,-3.5499999999999994,0,0,0.31133659173187894,0
118,62,-52.8,10,0,0.31102525514014706,0
119,56,28.450000000000006,10,0,0.3107142298850069,0
120,66,-32.3,10,0,0.3104035156551219,0
121,59,7.4500000000000135,10,0,0.3100931121394668,0
122,55,-1.8499999999999943,10,0,0.3097830190273273,0
123,66,62.59999999999995,10,0,0.30947323600829996,0
124,74,-23.899999999999995,10,0,0.3091637627722917,0
125,93,38.2499999999999,10,0,0.3088545990095194,0
126,71,57.30000000000001,10,0,0.30854574441050986,0
127,68,62.999999999999986,10,0,0.30823719866609933,0
128,9,-15.250000000000002,0,0,0.30792896146743326,0
129,55,28.650000000000002,10,0,0.30762103250596584,0
130,59,3.3499999999999766,10,0,0.30731341147345986,0
131,71,57.50000000000001,10,0,0.3070060980619864,0
132,144,-117.00000000000009,10,0,0.3066990919639244,0
133,67,22.049999999999965,10,0,0.3063923928719605,0
134,33,-25.049999999999997,10,0,0.30608600047908857,0
135,62,-78.59999999999998,10,0,0.30577991447860947,0
136,32,64.44999999999999,10,0,0.30547413456413086,0
137,91,-1.9500000000000277,10,0,0.30516866042956675,0
138,61,28.099999999999998,10,0,0.3048634917691372,0
139,61,49.39999999999999,10,0,0.30455862827736807,0
140,75,-87.44999999999997,10,0,0.3042540696490907,0
141,74,-33.4,0,0,0.3039498155794416,0
142,35,49.19999999999998,10,0,0.30364586576386215,0
143,77,-37.499999999999964,10,0,0.3033422198980983,0
144,30,-0.19999999999999574,10,0,0.3030388776782002,0
145,32,49.44999999999999,10,0,0.302735838800522,0
146,92,-68.24999999999997,10,0,0.3024331029617215,0
147,67,15.100000000000026,10,0,0.30213066985875975,0
148,60,22.95,10,0,0.301828539188901,0
149,74,-31.89999999999999,10,0,0.3015267106497121,0
150,68,-32.3,10,0,0.3012251839390624,0
151,62,-47.8,10,0,0.30092395875512334,0
152,27,49.55,10,0,0.3006230347963682,0
153,165,-53.100000000000165,10,0,0.3003224117615718,0
154,5,0.2,0,0,0.30002208934981023,0
155,55,-35.34999999999999,10,0,0.2997220672604604,0
156,26,30.150000000000002,10,0,0.29942234519319993,0
157,9,-15.250000000000002,0,0,0.29912292284800673,0
158,74,93.04999999999988,10,0,0.29882379992515873,0
159,84,17.899999999999945,10,0,0.29852497612523354,0
160,9,-15.250000000000002,0,0,0.2982264511491083,0
161,9,-0.19999999999999996,10,0,0.29792822469795915,0
162,61,69.29999999999998,10,0,0.29763029647326117,0
163,77,59.79999999999994,10,0,0.2973326661767879,0
164,62,57.75,10,0,0.2970353335106111,0
165,29,29.250000000000004,10,0,0.2967382981771005,0
166,30,64.09999999999995,10,0,0.2964415598789234,0
167,31,-14.799999999999994,10,0,0.2961451183190445,0
168,61,54.100000000000016,10,0,0.29584897320072545,0
169,28,19.45,10,0,0.2955531242275247,0
170,92,-5.699999999999974,10,0,0.2952575711032972,0
171,75,11.650000000000016,10,0,0.2949623135321939,0
172,71,-3.4499999999999993,10,0,0.29466735121866167,0
173,62,62.80000000000001,10,0,0.29437268386744303,0
174,71,-12.249999999999993,10,0,0.2940783111835756,0
175,67,-41.55000000000001,10,0,0.293784232872392,0
176,35,14.049999999999986,10,0,0.2934904486395196,0
177,102,20.600000000000005,10,0,0.2931969581908801,0
178,65,-17.55,0,0,0.29290376123268924,0
179,77,66.99999999999994,10,0,0.29261085747145654,0
180,72,88.44999999999996,10,0,0.2923182466139851,0
181,32,49.74999999999999,10,0,0.2920259283673711,0
182,28,75.55,10,0,0.29173390243900377,0
183,29,19.249999999999996,10,0,0.29144216853656474,0
184,71,-12.249999999999982,10,0,0.2911507263680282,0
185,33,94.09999999999995,10,0,0.29085957564166015,0
186,5,0.2,0,0,0.2905687160660185,0
187,9,-0.19999999999999996,10,0,0.29027814734995244,0
188,5,0.2,0,0,0.2899878692026025,0
189,9,-0.19999999999999996,10,0,0.2896978813333999,0
190,61,39.04999999999997,10,0,0.28940818345206654,0
191,30,44.29999999999998,10,0,0.28911877526861446,0
192,74,-3.1999999999999673,10,0,0.28882965649334585,0
193,9,-0.19999999999999996,10,0,0.2885408268368525,0
194,57,-12.09999999999998,10,0,0.2882522860100157,0
195,69,27.65000000000001,10,0,0.28796403372400564,0
196,33,59.1,10,0,0.28767606969028164,0
197,64,48.09999999999998,10,0,0.2873883936205914,0
198,27,44.349999999999994,10,0,0.2871010052269708,0
199,61,48.64999999999996,10,0,0.2868139042217438,0
200,61,-17.49999999999999,10,0,0.28652709031752205,0
201,31,94.29999999999997,10,0,0.28624056322720454,0
202,27,54.4,10,0,0.28595432266397736,0
203,65,28.949999999999985,10,0,0.2856683683413134,0
204,51,243.24999999999994,20,1,0.28538269997297205,0
205,72,47.1999999999999,10,0,0.2850973172729991,0
206,62,42.89999999999998,10,0,0.2848122199557261,0
207,32,29.549999999999997,10,0,0.28452740773577034,0
208,68,73.44999999999995,10,0,0.2842428803280346,0
209,66,54.85,10,0,0.28395863744770655,0
210,67,7.650000000000002,10,0,0.2836746788102588,0
211,74,-32.499999999999986,10,0,0.2833910041314486,0
212,65,7.550000000000015,10,0,0.28310761312731714,0
213,77,57.700000000000024,10,0,0.2828245055141898,0
214,62,58.49999999999997,10,0,0.2825416810086756,0
215,62,7.9000000000000234,10,0,0.28225913932766694,0
216,28,79.44999999999997,10,0,0.2819768801883393,0
217,56,-10.099999999999994,10,0,0.28169490330815095,0
218,66,46.99999999999994,10,0,0.2814132084048428,0
219,61,44.24999999999994,10,0,0.28113179519643794,0
220,59,17.900000000000013,10,0,0.2808506634012415,0
221,66,92.44999999999993,10,0,0.28056981273784026,0
222,30,63.99999999999997,10,0,0.28028924292510243,0
223,63,213.45,20,1,0.2800089536821773,0
224,104,1.9000000000000057,10,0,0.27972894472849513,0
225,56,0.049999999999999295,10,0,0.27944921578376664,0
226,99,11.000000000000009,10,0,0.27916976656798287,0
227,29,-0.25,10,0,0.27889059680141487,0
228,41,58.900000000000006,10,0,0.27861170620461345,0
229,65,63.049999999999955,10,0,0.2783330944984088,0
230,30,29.450000000000006,10,0,0.2780547614039104,0
231,67,32.70000000000001,10,0,0.2777767066425065,0
232,32,9.25,10,0,0.27749892993586395,0
233,6,-29.900000000000002,0,0,0.2772214310059281,0
234,32,29.450000000000003,10,0,0.27694420957492216,0
235,72,-33.29999999999999,10,0,0.27666726536534725,0
236,5,0.2,0,0,0.2763905980999819,0
237,26,49.89999999999999,10,0,0.2761142075018819,0
238,59,22.449999999999978,10,0,0.27583809329438,0
239,67,72.69999999999993,10,0,0.2755622552010856,0
240,29,29.550000000000008,10,0,0.27528669294588454,0
241,34,39.15,10,0,0.27501140625293863,0
242,27,29.800000000000004,10,0,0.2747363948466857,0
243,101,-28.2,10,0,0.274461658451839,0
244,34,-1.0999999999999943,10,0,0.27418719679338716,0
245,33,73.99999999999996,10,0,0.27391300959659376,0
246,47,78.49999999999999,10,0,0.27363909658699714,0
247,34,29.250000000000004,10,0,0.27336545749041014,0
248,83,-33.85,0,0,0.27309209203291973,0
249,56,-2.14999999999999,10,0,0.2728189999408868,0
250,35,19.05,10,0,0.27254618094094596,0
251,71,62.54999999999994,10,0,0.272273634760005,0
252,66,47.59999999999995,10,0,0.272001361125245,0
253,79,27.250000000000004,10,0,0.2717293597641197,0
254,27,49.64999999999999,10,0,0.2714576304043556,0
255,30,29.200000000000014,10,0,0.27118617277395124,0
256,39,78.69999999999993,10,0,0.2709149866011773,0
257,63,27.75000000000001,10,0,0.2706440716145761,0
258,68,42.39999999999996,10,0,0.2703734275429615,0
259,28,49.499999999999986,10,0,0.2701030541154186,0
260,75,75.79999999999993,10,0,0.2698329510613032,0
261,28,59.85,10,0,0.26956311811024186,0
262,36,29.450000000000003,10,0,0.26929355499213165,0
263,30,49.39999999999999,10,0,0.26902426143713953,0
264,32,60.34999999999999,10,0,0.2687552371757024,0
265,27,59.500000000000014,10,0,0.2684864819385267,0
266,34,49.349999999999994,10,0,0.2682179954565882,0
267,78,77.0499999999999,10,0,0.26794977746113163,0
268,55,23.749999999999996,10,0,0.2676818276836705,0
269,33,29.2,10,0,0.26741414585598683,0
270,57,-12.349999999999994,10,0,0.26714673171013087,0
271,29,29.250000000000004,10,0,0.26687958497842074,0
272,32,29.350000000000005,10,0,0.26661270539344234,0
273,31,49.19999999999999,10,0,0.2663460926880489,0
274,59,38.1,10,0,0.2660797465953608,0
275,39,28.950000000000006,10,0,0.26581366684876545,0
276,33,49.09999999999999,10,0,0.2655478531819167,0
277,42,48.89999999999999,10,0,0.2652823053287348,0
278,33,18.949999999999992,10,0,0.2650170230234061,0
279,34,18.99999999999999,10,0,0.2647520060003827,0
280,29,29.549999999999994,10,0,0.2644872539943823,0
281,27,49.54999999999998,10,0,0.2642227667403879,0
282,66,9.75000000000001,10,0,0.26395854397364754,0
283,62,53.45,10,0,0.2636945854296739,0
284,6,-29.900000000000002,0,0,0.2634308908442442,0
285,56,-7.29999999999999,10,0,0.26316745995339996,0
286,63,8.25000000000001,10,0,0.26290429249344655,0
287,79,87.59999999999988,10,0,0.2626413882009531,0
288,34,28.95,10,0,0.26237874681275214,0
289,48,20.700000000000014,10,0,0.2621163680659394,0
290,28,49.29999999999998,10,0,0.26185425169787346,0
291,35,-40.95,10,0,0.2615923974461756,0
292,62,43.79999999999998,10,0,0.2613308050487294,0
293,32,-10.84999999999999,10,0,0.26106947424368065,0
294,61,38.1,10,0,0.26080840476943695,0
295,27,24.450000000000006,10,0,0.2605475963646675,0
296,28,25.600000000000012,10,0,0.26028704876830283,0
297,33,40.04999999999997,10,0,0.26002676171953454,0
298,46,60.099999999999994,10,0,0.259766734957815,0
299,31,9.6,10,0,0.2595069682228572,0
300,54,-42.099999999999994,10,0,0.2592474612546343,0
301,57,-32.1,10,0,0.2589882137933797,0
302,61,-2.7500000000000036,10,0,0.25872922557958633,0
