episode,steps,reward,score,apples,two_apple_success,three_apple_success,epsilon,entropy,truncated
1,77,15.800000000000072,10,1,0,0,0.49975,1.2271709762254015,0
2,11,-1.3300000000000003,0,0,0,0,0.4995001250000001,1.2268125536417285,0
3,6,-24.86,0,0,0,0,0.4992503749375001,1.2264541438385852,0
4,11,1.0599999999999998,0,0,0,0,0.49900074975003134,1.2260957469481353,0
5,7,-24.51,0,0,0,0,0.49875124937515636,1.2257373631023147,0
6,12,-26.380000000000003,0,0,0,0,0.4985018737504688,1.2253789924328324,0
7,6,1.29,0,0,0,0,0.49825262281359356,1.2250206350711708,0
8,24,-22.14,0,0,0,0,0.4980034965021868,1.2246622911485863,0
9,18,2.8299999999999996,0,0,0,0,0.49775449475393574,1.2243039607961086,0
10,71,3.399999999999988,10,1,0,0,0.4975056175065588,1.2239456441445427,0
11,12,-24.73,0,0,0,0,0.49725686469780556,1.2235873413244671,0
12,59,27.28000000000006,10,1,0,0,0.4970082362654567,1.223229052466237,0
13,14,-29.89,0,0,0,0,0.496759732147324,1.2228707776999834,0
14,6,-24.86,0,0,0,0,0.4965113522812504,1.2225125171556104,0
15,33,32.370000000000054,10,1,0,0,0.49626309660510975,1.222154270962802,0
16,29,56.42000000000006,10,1,0,0,0.4960149650568072,1.2217960392510159,0
17,18,63.370000000000026,10,1,0,0,0.4957669575742788,1.2214378221494893,0
18,63,34.82000000000005,10,1,0,0,0.4955190740954917,1.2210796197872351,0
19,11,1.9299999999999997,0,0,0,0,0.495271314558444,1.2207214322930449,0
20,6,-23.1,0,0,0,0,0.4950236789011648,1.2203632597954879,0
21,6,-23.85,0,0,0,0,0.49477616706171423,1.220005102422912,0
22,19,-23.529999999999998,0,0,0,0,0.4945287789781834,1.219646960303444,0
23,87,-50.30000000000001,0,0,0,0,0.49428151458869435,1.21928883356499,0
24,12,38.21000000000001,10,1,0,0,0.49403437383140003,1.2189307223352357,0
25,11,-21.16,0,0,0,0,0.49378735664448437,1.218572626741647,0
26,34,41.00000000000002,10,1,0,0,0.49354046296616216,1.21821454691147,0
27,18,63.320000000000014,10,1,0,0,0.4932936927346791,1.2178564829717307,0
28,53,120.03999999999999,20,2,1,0,0.4930470458883118,1.217498435049237,0
29,13,2.2399999999999998,0,0,0,0,0.49280052236536764,1.2171404032705784,0
30,49,34.58000000000004,10,1,0,0,0.492554122104185,1.216782387762126,0
31,9,61.93000000000001,10,1,0,0,0.4923078450431329,1.2164243886500326,0
32,15,37.180000000000014,10,1,0,0,0.4920616911206114,1.216066406060234,0
33,20,35.43000000000003,10,1,0,0,0.4918156602750511,1.2157084401184484,0
34,84,118.08999999999995,20,2,1,0,0.4915697524449136,1.215350490950178,0
35,12,37.699999999999996,10,1,0,0,0.4913239675686911,1.2149925586807073,0
36,13,36.15000000000002,10,1,0,0,0.4910783055849068,1.2146346434351065,0
37,61,31.740000000000034,10,1,0,0,0.4908327664321144,1.2142767453382284,0
38,6,35.58000000000001,10,1,0,0,0.49058735004889836,1.2139188645147114,0
39,64,58.70000000000003,10,1,0,0,0.49034205637387396,1.2135610010889786,0
40,62,140.03,20,2,1,0,0.49009688534568707,1.2132031551852385,0
41,49,43.35000000000004,10,1,0,0,0.48985183690301426,1.2128453269274855,0
