episode,steps,total_reward,score,success,outcome,epsilon
1,183,0.33047625732420727,10,0,one_apple,0.999
2,43,-2.2352677612304697,0,0,failed,0.998001
3,38,-22.140436187744143,0,0,failed,0.997002999
4,11,-0.43352026367187496,0,0,failed,0.996005996001
5,35,-21.74866961669922,0,0,failed,0.995009990004999
6,22,-1.1288338012695314,0,0,failed,0.994014980014994
7,17,9.245666076660155,10,0,one_apple,0.993020965034979
8,22,-0.8839032897949219,0,0,failed,0.9920279440699441
9,36,-1.8319421386718755,0,0,failed,0.9910359161258742
10,18,-20.97938235473633,0,0,failed,0.9900448802097482
11,12,-0.5393376159667967,0,0,failed,0.9890548353295385
12,9,-0.2838042907714844,0,0,failed,0.988065780494209
13,11,-20.509483032226562,0,0,failed,0.9870777147137147
14,25,-1.1706398315429687,0,0,failed,0.986090636999001
15,30,-21.66686068725586,0,0,failed,0.9851045463620021
16,23,-0.9214460449218751,0,0,failed,0.98411944181564
17,14,-0.7285444946289062,0,0,failed,0.9831353223738244
18,28,-1.3166614685058593,0,0,failed,0.9821521870514506
19,10,-20.56814587402344,0,0,failed,0.9811700348643991
20,18,-21.070806640625,0,0,failed,0.9801888648295347
21,12,-0.613456085205078,0,0,failed,0.9792086759647052
22,34,28.22180661010742,10,0,one_apple,0.9782294672887405
23,19,-20.993265380859377,0,0,failed,0.9772512378214517
24,14,-0.6713242187499999,0,0,failed,0.9762739865836303
25,9,-20.54520495605469,0,0,failed,0.9752977125970467
26,11,-0.4942800903320314,0,0,failed,0.9743224148844496
27,9,-0.35585055541992194,0,0,failed,0.9733480924695651
28,10,-0.4340350341796875,0,0,failed,0.9723747443770956
29,8,-0.2893376159667969,0,0,failed,0.9714023696327185
30,31,-1.5744892883300785,0,0,failed,0.9704309672630859
31,32,-1.7786731567382819,0,0,failed,0.9694605362958227
32,32,-1.8723201293945317,0,0,failed,0.9684910757595269
33,74,26.357119445800766,10,0,one_apple,0.9675225846837673
34,7,-0.2414824218750001,0,0,failed,0.9665550620990835
35,16,-0.9178091735839844,0,0,failed,0.9655885070369844
36,9,-0.2907419738769532,0,0,failed,0.9646229185299474
37,27,-1.2254054565429688,0,0,failed,0.9636582956114175
38,24,28.982242218017575,10,0,one_apple,0.9626946373158061
