episode,steps,total_reward,score,success,outcome
1,61,26.999999999999968,10,0,one_apple
2,9,29.599999999999998,10,0,one_apple
3,9,29.599999999999998,10,0,one_apple
4,19,9.049999999999997,10,0,one_apple
5,9,29.599999999999998,10,0,one_apple
6,9,29.599999999999998,10,0,one_apple
7,31,8.449999999999989,10,0,one_apple
8,15,9.25,10,0,one_apple
9,9,29.599999999999998,10,0,one_apple
10,24,8.799999999999997,10,0,one_apple
11,9,29.599999999999998,10,0,one_apple
12,9,-0.39999999999999997,10,0,one_apple
13,9,29.599999999999998,10,0,one_apple
14,61,26.999999999999968,10,0,one_apple
15,9,-0.39999999999999997,10,0,one_apple
16,64,26.84999999999997,10,0,one_apple
17,21,28.99999999999999,10,0,one_apple
18,22,28.94999999999999,10,0,one_apple
19,8,-0.35,10,0,one_apple
20,59,27.09999999999997,10,0,one_apple
21,9,29.599999999999998,10,0,one_apple
22,63,26.899999999999967,10,0,one_apple
23,29,28.59999999999999,10,0,one_apple
24,8,-0.35,0,0,failed
25,5,-0.2,0,0,failed
26,17,29.2,10,0,one_apple
27,9,29.599999999999998,10,0,one_apple
28,40,28.049999999999986,10,0,one_apple
29,9,-0.39999999999999997,10,0,one_apple
30,8,-0.35,10,0,one_apple
31,34,28.34999999999998,10,0,one_apple
32,9,29.599999999999998,10,0,one_apple
33,62,26.949999999999967,10,0,one_apple
34,9,29.599999999999998,10,0,one_apple
35,9,29.599999999999998,10,0,one_apple
36,9,29.599999999999998,10,0,one_apple
37,21,28.99999999999999,10,0,one_apple
38,9,29.599999999999998,10,0,one_apple
39,9,29.599999999999998,10,0,one_apple
40,8,-0.35,10,0,one_apple
41,9,29.599999999999998,10,0,one_apple
42,19,9.049999999999997,10,0,one_apple
43,9,29.599999999999998,10,0,one_apple
44,9,29.599999999999998,10,0,one_apple
45,9,29.599999999999998,10,0,one_apple
46,9,29.599999999999998,10,0,one_apple
47,8,9.6,10,0,one_apple
48,54,27.349999999999973,10,0,one_apple
49,9,29.599999999999998,10,0,one_apple
50,21,28.99999999999999,10,0,one_apple
51,9,29.599999999999998,10,0,one_apple
52,8,-0.35,10,0,one_apple
53,9,29.599999999999998,10,0,one_apple
54,9,29.599999999999998,10,0,one_apple
55,9,29.599999999999998,10,0,one_apple
56,9,29.599999999999998,10,0,one_apple
57,9,29.599999999999998,10,0,one_apple
58,9,29.599999999999998,10,0,one_apple
59,9,29.599999999999998,10,0,one_apple
60,9,29.599999999999998,10,0,one_apple
61,9,29.599999999999998,10,0,one_apple
62,9,29.599999999999998,10,0,one_apple
63,9,29.599999999999998,10,0,one_apple
64,9,29.599999999999998,10,0,one_apple
65,9,29.599999999999998,10,0,one_apple
66,8,-0.35,10,0,one_apple
67,8,-0.35,10,0,one_apple
68,9,29.599999999999998,10,0,one_apple
69,22,28.94999999999999,10,0,one_apple
70,9,29.599999999999998,10,0,one_apple
71,9,29.599999999999998,10,0,one_apple
72,9,29.599999999999998,10,0,one_apple
73,9,29.599999999999998,10,0,one_apple
74,9,29.599999999999998,10,0,one_apple
75,9,29.599999999999998,10,0,one_apple
76,9,29.599999999999998,10,0,one_apple
77,9,29.599999999999998,10,0,one_apple
78,9,29.599999999999998,10,0,one_apple
79,62,26.94999999999997,10,0,one_apple
80,54,27.34999999999998,10,0,one_apple
81,9,29.599999999999998,10,0,one_apple
82,9,29.599999999999998,10,0,one_apple
83,9,29.599999999999998,10,0,one_apple
84,9,29.599999999999998,10,0,one_apple
85,60,27.04999999999997,10,0,one_apple
86,33,28.39999999999998,10,0,one_apple
87,9,29.599999999999998,10,0,one_apple
88,60,27.04999999999997,10,0,one_apple
89,9,29.599999999999998,10,0,one_apple
90,9,29.599999999999998,10,0,one_apple
91,21,28.99999999999999,10,0,one_apple
92,22,28.94999999999999,10,0,one_apple
93,9,29.599999999999998,10,0,one_apple
94,61,26.999999999999968,10,0,one_apple
95,21,28.99999999999999,10,0,one_apple
96,9,29.599999999999998,10,0,one_apple
97,9,29.599999999999998,10,0,one_apple
98,9,29.599999999999998,10,0,one_apple
99,9,29.599999999999998,10,0,one_apple
100,9,29.599999999999998,10,0,one_apple
