episode,steps,total_reward,score,success,epsilon
1,28,-21.400000000000002,0,0,0.997
2,20,-0.9500000000000003,0,0,0.994009
3,19,-20.95,0,0,0.991026973
4,85,-24.249999999999993,0,0,0.988053892081
5,19,-20.95,0,0,0.985089730404757
6,18,-20.900000000000002,0,0,0.9821344612135428
7,34,-21.700000000000003,0,0,0.9791880578299021
8,23,-21.150000000000002,0,0,0.9762504936564125
9,56,7.199999999999996,10,0,0.9733217421754432
10,24,-21.200000000000003,0,0,0.9704017769489168
11,16,-20.8,0,0,0.9674905716180701
12,30,-21.5,0,0,0.9645880999032158
13,30,-21.5,0,0,0.9616943356035061
14,65,-3.1999999999999966,0,0,0.9588092525966956
15,41,-22.05,0,0,0.9559328248389055
16,47,-22.35,0,0,0.9530650263643888
17,118,-25.899999999999988,0,0,0.9502058312852957
18,109,-25.44999999999999,0,0,0.9473552137914398
19,46,-22.3,0,0,0.9445131481500655
20,38,-21.900000000000002,0,0,0.9416796087056153
21,6,-20.3,0,0,0.9388545698794984
22,31,-21.55,0,0,0.93603800616986
23,19,-0.9000000000000002,0,0,0.9332298921513504
24,18,-20.900000000000002,0,0,0.9304302024748964
25,42,-22.1,0,0,0.9276389118674717
26,39,-21.950000000000003,0,0,0.9248559951318693
27,54,7.300000000000001,10,0,0.9220814271464737
28,76,-23.799999999999997,0,0,0.9193151828650342
29,22,-21.1,0,0,0.9165572373164391
30,92,-24.599999999999994,0,0,0.9138075656044898
31,178,-28.89999999999999,0,0,0.9110661429076764
32,6,-20.3,0,0,0.9083329444789534
33,12,-20.6,0,0,0.9056079456455165
34,24,-21.200000000000003,0,0,0.90289112180858
35,12,-20.6,0,0,0.9001824484431542
36,175,-28.74999999999999,0,0,0.8974819010978248
37,92,-24.599999999999994,0,0,0.8947894553945313
38,25,-21.25,0,0,0.8921050870283477
39,15,-20.75,0,0,0.8894287717672626
40,71,-23.549999999999997,0,0,0.8867604854519608
41,14,-20.7,0,0,0.884100203995605
42,83,-24.149999999999995,0,0,0.8814479033836181
43,106,-25.29999999999999,0,0,0.8788035596734672
44,28,-21.400000000000002,0,0,0.8761671489944468
45,66,-23.299999999999997,0,0,0.8735386475474635
46,41,7.949999999999996,10,0,0.8709180316048211
47,19,-20.95,0,0,0.8683052775100066
48,77,6.1499999999999915,10,0,0.8657003616774767
49,51,7.449999999999999,10,0,0.8631032605924442
50,6,-20.3,0,0,0.860513950810667
51,22,-21.1,0,0,0.857932408958235
52,98,5.100000000000005,10,0,0.8553586117313603
53,65,-23.249999999999996,0,0,0.8527925358961662
54,115,-25.74999999999999,0,0,0.8502341582884777
55,82,-24.099999999999994,0,0,0.8476834558136123
56,41,-22.05,0,0,0.8451404054461714
57,22,-21.1,0,0,0.8426049842298329
58,23,-21.150000000000002,0,0,0.8400771692771434
59,23,-1.1000000000000003,0,0,0.837556937769312
60,15,-20.75,0,0,0.835044266956004
61,86,-24.299999999999994,0,0,0.8325391341551359
62,44,-22.200000000000003,0,0,0.8300415167526705
63,47,-22.35,0,0,0.8275513922024125
64,41,-2.000000000000001,0,0,0.8250687380258053
65,42,-2.0500000000000007,0,0,0.8225935318117279
66,68,-23.4,0,0,0.8201257512162927
67,6,-20.3,0,0,0.8176653739626438
68,29,-1.4000000000000006,0,0,0.8152123778407558
69,28,-1.3500000000000005,0,0,0.8127667407072335
70,47,-2.3,0,0,0.8103284404851119
71,125,-26.249999999999986,0,0,0.8078974551636565
72,104,-25.19999999999999,0,0,0.8054737627981655
73,41,-22.05,0,0,0.803057341509771
74,15,-20.75,0,0,0.8006481694852418
75,85,-24.249999999999993,0,0,0.798246224976786
76,103,-25.14999999999999,0,0,0.7958514863018556
77,57,-22.849999999999998,0,0,0.79346393184295
78,213,-30.650000000000016,0,0,0.7910835400474212
79,129,-26.449999999999985,0,0,0.7887102894272789
80,28,8.599999999999998,10,0,0.7863441585589971
81,23,-21.150000000000002,0,0,0.78398512608332
82,187,-29.349999999999998,0,0,0.7816331707050701
83,37,-21.85,0,0,0.7792882711929549
84,21,-21.05,0,0,0.776950406379376
85,21,-21.05,0,0,0.7746195551602378
86,28,-21.400000000000002,0,0,0.7722956964947572
87,15,-0.7000000000000001,0,0,0.7699788094052729
88,20,-21.0,0,0,0.767668872977057
89,27,-21.35,0,0,0.7653658663581259
90,28,-21.400000000000002,0,0,0.7630697687590515
91,72,-23.599999999999994,0,0,0.7607805594527743
92,56,-22.799999999999997,0,0,0.7584982177744161
93,122,-26.099999999999987,0,0,0.7562227231210928
94,74,6.299999999999983,10,0,0.7539540549517295
95,6,-20.3,0,0,0.7516921927868743
96,83,-24.149999999999995,0,0,0.7494371162085136
